,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,45)","Exit_SMA(C,45)","Entry_SMA(C,200)","Exit_SMA(C,200)","Entry_RSI(C,14)","Exit_RSI(C,14)","Entry_ADX(H,L,C,14)","Exit_ADX(H,L,C,14)"
0,97,315,337,102128.82,101874.03,,,-44502.906450000795,19788.27645,-0.0044922956125411475,2025-11-08 20:45:00,2025-11-09 02:15:00,0 days 05:30:00,,102030.54300000002,101922.58200000001,101990.25577777775,102013.57577777778,101950.73394999992,102053.1671499999,53.200304947534185,45.33978530282142,96.62062981730703,97.5361402074728
1,97,373,475,102187.08,105943.92,,,344224.77299999964,20188.707000000002,0.034727570256435435,2025-11-09 11:15:00,2025-11-10 12:45:00,1 days 01:30:00,,101889.05800000002,106060.425,101859.25977777773,106115.58288888886,102056.83334999993,103469.79285000003,58.3226844633778,45.14811493324033,97.52500277270266,96.42668137825582
2,96,480,481,106564.2,106254.99,,,-50114.80223999922,20430.64224,-0.0048987294982741555,2025-11-10 14:00:00,2025-11-10 14:15:00,0 days 00:15:00,,106173.63499999997,106171.72199999998,106176.85355555556,106182.16,103574.56135000003,103595.47205000004,52.53632020041471,49.734430423694874,95.56680650972854,95.72155060400105
3,96,507,515,106255.62,105660.86,,,-77440.9420799995,20343.98208,-0.007591847659446075,2025-11-10 20:45:00,2025-11-10 22:45:00,0 days 02:00:00,,105894.90099999995,105728.62199999993,105833.74111111106,105732.33444444438,104078.81945000004,104223.17935000006,54.44164778680985,55.919053629441294,90.82590979442197,85.5330204466851
4,95,519,543,106200.01,105326.68,,,-103061.38555000017,20095.03555,-0.010215222107794516,2025-11-10 23:45:00,2025-11-11 05:45:00,0 days 06:00:00,,105836.40199999991,105812.98499999996,105743.40822222215,105986.37177777769,104302.01855000007,104795.77340000005,54.12432372631677,35.74982429175846,81.1191440050002,84.18691606598595
5,105,860,949,95341.93,95836.48,,,31854.016950000307,20073.73305,0.0031819325453134447,2025-11-14 13:00:00,2025-11-15 11:15:00,0 days 22:15:00,,95890.55899999982,95927.8289999998,97400.39933333329,95972.07444444446,100823.40085000005,97767.25194999999,30.68507494734804,45.753697623758846,26.271536852359393,63.525427110478894
6,111,1313,1422,90650.12,91783.43,,,105547.28594999974,20250.12405,0.010489522242221012,2025-11-19 06:15:00,2025-11-20 09:30:00,1 days 03:15:00,,91020.73099999978,92077.4939999998,92335.1995555555,92138.96800000002,92683.61515000006,91685.12770000007,32.5724504200142,40.2387650775112,28.8133682744695,81.2734043443232
7,123,1523,1669,82527.21,85021.59,,,286200.23759999877,20608.5024,0.02819471541567903,2025-11-21 10:45:00,2025-11-22 23:15:00,1 days 12:30:00,,82853.40399999982,84638.53199999986,85333.72777777778,84468.34622222217,89334.90419999996,84677.04374999991,30.35727825338818,57.82926751121455,55.56512617851306,26.65281264862546
8,120,1836,1858,87174.49,88801.93,,,174175.62959999853,21117.170400000003,0.016650095457971463,2025-11-24 17:00:00,2025-11-24 22:30:00,0 days 05:30:00,,86762.74299999983,88922.86099999983,86480.4891111111,87502.3122222222,86264.70615000004,86710.3343,56.282134382838954,61.36337346765883,80.25769819776306,51.5174373126235
9,121,1987,1999,87660.05,86971.99,,,-104385.73683999972,21130.476840000003,-0.009841336389837729,2025-11-26 06:45:00,2025-11-26 09:45:00,0 days 03:00:00,,87530.13799999985,87417.94999999987,87449.78,87546.52200000001,87414.84274999995,87432.1886999999,57.475717891603836,31.79513571067073,58.28583734736766,78.89462778780273
10,124,2504,2648,84677.0,92650.02,,,966665.9295200005,21988.55048,0.09206387779444244,2025-12-01 16:00:00,2025-12-03 04:00:00,1 days 12:00:00,,85390.24199999988,92730.28199999992,86081.61266666665,91862.37177777776,89524.80759999993,87782.28594999976,31.20274775007705,67.69628257917937,55.688698957169656,31.199167407017196
11,130,3075,3101,88258.91,91285.87,,,370163.9785999989,23340.8214,0.03226207099090609,2025-12-07 14:45:00,2025-12-07 21:15:00,0 days 06:30:00,,88839.01199999996,91352.47899999993,89269.12644444438,89931.86288888885,89496.33325000001,89598.88719999998,30.998670440217342,53.72009099222318,27.665545685695268,49.68792382593305
12,130,3202,3217,90971.51,90118.01,,,-134496.6376,23541.6376,-0.011372676126844544,2025-12-08 22:30:00,2025-12-09 02:15:00,0 days 03:45:00,,90883.28699999992,90357.01399999994,90746.80422222218,90400.23222222217,90313.68380000012,90400.05660000011,52.42352894113983,45.477105685410116,73.55599422127848,82.924606909838
13,126,3334,3351,92579.39,91992.64,,,-97186.57578,23256.07578,-0.008331465891058477,2025-12-10 07:30:00,2025-12-10 11:45:00,0 days 04:15:00,,92612.17999999989,92429.81499999992,92595.16088888881,92491.34422222213,91436.26979999997,91507.79935,54.505050539077985,38.76957412848899,87.81211782032815,74.32617710825905
14,126,3540,3547,92492.32,92090.46,,,-73891.79028000007,23257.43028,-0.006340448374524514,2025-12-12 11:00:00,2025-12-12 12:45:00,0 days 01:45:00,,92380.57499999992,92339.86399999991,92332.22799999994,92364.24311111106,91522.78804999997,91513.25494999996,51.38300608201143,52.986841996725744,81.135212801932,76.71517448427065
15,129,3736,3795,89400.01,89451.06,,,-16486.338029999624,23071.78803,-0.0014295420101184076,2025-12-14 12:00:00,2025-12-15 02:45:00,0 days 14:45:00,,89656.92099999991,89028.49199999993,90087.39111111108,88707.75266666665,90424.59875000008,89801.75120000012,34.713671137168994,61.02046106954513,22.993161600670334,37.08418861838232
16,132,4028,4048,87029.55,86421.6,,,-103144.95179999962,22895.5518,-0.008978572795102367,2025-12-17 13:00:00,2025-12-17 18:00:00,0 days 05:00:00,,86921.35599999991,86727.17299999991,86862.27888888888,87093.38666666664,86965.00350000006,86832.02980000002,51.69638580133415,43.726641894517535,71.11334248396143,63.33665312963814
17,131,4183,4202,87015.75,87756.16,,,74098.58979000046,22895.12021,0.006500410442937062,2025-12-19 03:45:00,2025-12-19 08:30:00,0 days 04:45:00,,85993.38999999993,87709.3089999999,85720.85555555552,86400.56266666665,86654.46135000004,86689.62865000006,65.76930841103007,64.926243751429,76.2278706336022,36.95814959538194
18,130,4258,4370,88217.21,87955.12,,,-56974.10290000144,22902.4029,-0.0049679912797062015,2025-12-19 22:30:00,2025-12-21 02:30:00,1 days 04:00:00,,88043.54899999991,88174.77799999989,87945.58977777777,88226.38933333331,86998.76240000007,87923.71304999998,60.511360905968694,31.141516628598982,79.50053769667286,81.60396185253735
19,130,4537,4645,88186.06,87324.81,,,-134778.9131,22816.413099999998,-0.011756516506123537,2025-12-22 20:15:00,2025-12-23 23:15:00,1 days 03:00:00,,88736.98099999985,87565.42299999986,89560.58688888885,87659.07911111112,88691.33005000006,88484.43445,26.61779005268342,44.08009678243423,42.6191861862211,76.87878861143918
20,127,4853,4889,89031.25,88690.52,,,-65843.37478999948,22570.664790000003,-0.005823256103896052,2025-12-26 03:15:00,2025-12-26 12:15:00,0 days 09:00:00,,88287.7089999999,88699.67099999986,87956.24444444447,88750.04577777775,87567.74494999995,87881.10379999987,66.63274452908952,49.728228032565916,93.06713149814259,81.4246517889783
21,128,5067,5133,87836.61,88064.8,,,6692.939520000298,22515.38048,0.0005952938074455607,2025-12-28 08:45:00,2025-12-29 01:15:00,0 days 16:30:00,,87754.2899999998,87959.1879999998,87748.4662222222,87777.29199999997,87727.49190000014,87659.22530000014,56.16069859283467,56.2434242542286,57.33895534056291,18.323036267571702
